time,open,high,low,close
2024-11-03T19:00:00-03:00,152.334,152.382,152.334,152.382
2024-11-03T19:05:00-03:00,152.37,152.391,152.33,152.389
2024-11-03T19:10:00-03:00,152.379,152.454,152.378,152.436
2024-11-03T19:15:00-03:00,152.448,152.544,152.436,152.542
2024-11-03T19:20:00-03:00,152.544,152.576,152.474,152.474
2024-11-03T19:25:00-03:00,152.475,152.494,152.474,152.485
2024-11-03T19:30:00-03:00,152.484,152.496,152.416,152.429
2024-11-03T19:35:00-03:00,152.428,152.453,152.425,152.452
2024-11-03T19:40:00-03:00,152.453,152.46,152.442,152.45
2024-11-03T19:45:00-03:00,152.446,152.45,152.418,152.448
2024-11-03T19:50:00-03:00,152.447,152.456,152.437,152.441
2024-11-03T19:55:00-03:00,152.436,152.448,152.436,152.44
2024-11-03T20:00:00-03:00,152.437,152.475,152.258,152.438
2024-11-03T20:05:00-03:00,152.438,152.486,152.378,152.38
2024-11-03T20:10:00-03:00,152.379,152.418,152.362,152.371
2024-11-03T20:15:00-03:00,152.376,152.416,152.362,152.396
2024-11-03T20:20:00-03:00,152.397,152.464,152.37,152.452
2024-11-03T20:25:00-03:00,152.452,152.459,152.393,152.396
2024-11-03T20:30:00-03:00,152.397,152.406,152.276,152.276
2024-11-03T20:35:00-03:00,152.277,152.298,152.25,152.294
2024-11-03T20:40:00-03:00,152.293,152.318,152.266,152.268
2024-11-03T20:45:00-03:00,152.266,152.276,152.184,152.223
2024-11-03T20:50:00-03:00,152.224,152.336,152.215,152.327
2024-11-03T20:55:00-03:00,152.326,152.326,152.267,152.294
2024-11-03T21:00:00-03:00,152.292,152.292,152.196,152.226
2024-11-03T21:05:00-03:00,152.226,152.238,152.15,152.178
2024-11-03T21:10:00-03:00,152.178,152.229,152.172,152.228
2024-11-03T21:15:00-03:00,152.228,152.24,152.143,152.154
2024-11-03T21:20:00-03:00,152.156,152.158,152.072,152.088
2024-11-03T21:25:00-03:00,152.087,152.108,152.05,152.078
